id,en,ja,de
title,Knowledge of earthquake,地震への心構え,Gut zu Wissen - Erdbeben
lang,en,ja,de
langName,English,日本語,Deutsch
description,Knowledge of earthquake from Fire and Disaster Management Agency of Japan,地震対策資料　消防庁防災マニュアルより抜粋です,Sammlung von wichtigen informationen im Falle eines Erdbebens.
selectLanguageTitle,Language,言語を選ぶ,Sprache
aboutTitle,About,サイトについて,Über diese Seite
introductionTitle,Introduction,はじめに,Einführung
indoorTitle,Indoor case,室内の場合,In Gebäuden
outdoorTitle,Outdoor case,屋外の場合,Im Freien
vehicleTitle,Vehicle case,乗物の場合,In Fahrzeugen
afterTitle,After shaking,揺れがおさまったら,Nach dem Beben
documentsTitle,Documents,資料,Dokumente
about.text1,Please look at this site when an earthquake occurs in Japan.,万が一、日本で地震に遭遇した場合、こちらのサイトを参考にしてください。,Bitte verwenden Sie diese Seite im Fall dass Sie während eines Erdbeben in Japan sind.
about.text2,This site is made for tourist who came from out of Japan. ,このサイトは、日本の外から来た観光客のために作られています。,Diese Seite wurde ursprünglich für Touristen erstellt.
about.text3,"If you want to add other language version or edit some words, please edit this spreadsheet and wait.",もし、他の言語バージョンを追加したり、いくつかの単語を編集したい場合は、このスプレッドシートを編集してお待ちください。,"Wenn Sie Fehler in der Übersetzung finden sollten oder den Inhalt editieren möchten, ändern Sie bitte diese Tabelle."
about.text4,I'll check it and rebuild this site on the couple of days.,シートを随時チェックし、数日内に更新します。,Ich überprüfe die Übersetzung und publiziere sie dann in wenigen Tagen
about.text5,This site is a partial copy of the Japanese Emergency manual.,このサイトは、日本の消防庁の防災マニュアルの部分的なコピーです。,Diese Seite ist eine teil-Kopie des japanischen Notfall Handbuchs für Erdbeben.
